"ID","Language_ID","Headword","Part_Of_Speech","Headword_Raw","Headword_Normalized","Homonym_Number","Classification_Family","Translation_Raw","Variants_JSON","Examples_JSON","Comment","Source","Publication_Status","Validation_Status","Transcription_Status"
"RD-000347","tar","Burusáagá","","Burusáagá","burusaaga","","Sin clasificar","Condicional si le amarran","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000348","tar","Burúuri","","Burúuri","buruuri","","Sin clasificar","[Pretérito de burú]","[]","[""Chabé echo'ná burúuri. Hace mucho había un camino allí.""]","Chabé echo'ná burúuri. Hace mucho había un camino allí.","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000349","tar","Busá","Vi","Busá","busa","","Vi","Despertarse","[""pret.: busuré; fut.: busuméa""]","[""Bi'yá bijini busureri. Muy temprano desperté. Ba'arí bi'yá nimí busurébanama. Mañana temprano te voy a despertar. [pret.: busuré; fut.: busuméa]""]","Bi'yá bijini busureri. Muy temprano desperté. Ba'arí bi'yá nimí busurébanama. Mañana temprano te voy a despertar. [pret.: busuré; fut.: busuméa]","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000350","tar","Busé","Vi","Busé","buse","","Vi","Tener ojos","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000351","tar","Busí","S","Busí","busi","","S","Ojo","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000352","tar","Busugachi","S","Busugachi","busugachi","","S","Ciego (Una persona a quien se le acabó completamente la vista)","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000353","tar","Busurébana","Vt","Busurébana","busurebana","","Vt","Despertar","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000354","tar","Butuhuí","Vi","Butuhuí","butuhui","","Vi","Hundirse","[]","[""Butuhuisa simí. Nadar debajo del agua""]","Butuhuisa simí. Nadar debajo del agua","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000355","tar","buyana","Vi pl","1buyana","buyana","1","Vi","Salir (animales del corral)","[""pret.: buyánari""]","[""[pret.: buyánari]""]","[pret.: buyánari]","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000356","tar","buyana","","2buyana","buyana","2","Sin clasificar","Enfermar (de viruela)","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000357","tar","ca","Vi","1ca","ca","1","Vi","Llevar (en la mano)","[]","[""Ripiyá ca simiri. Se fue llevando un cuchillo.""]","Ripiyá ca simiri. Se fue llevando un cuchillo.","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000358","tar","ca","Vi","1ca","ca","1","Vi","Traer","[""pp: cami""]","[""Cusí ca nahuari. Llegó trayendo un palo. [pp: cami]""]","Cusí ca nahuari. Llegó trayendo un palo. [pp: cami]","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000359","tar","ca","Vi","2ca","ca","2","Vi","Hacer sombra","[]","[""Mujemi hue nayurú; nijeni cábatama. Tú estás muy enfermo; te voy a hacer sombra.""]","Mujemi hue nayurú; nijeni cábatama. Tú estás muy enfermo; te voy a hacer sombra.","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000360","tar","Carari","S","Carari","carari","","S","Sombra","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000361","tar","Cáachi","Vi","Cáachi","caachi","","Vi","Ser","[]","[""Nijeni pe táa cáachi níiri. Yo era un poco chico. Ma ochérami cáachi mucumea. Ya que sea viejo, morirá. Siné cáachi. En otra ocasión, tal vez Táa cáachi. Siendo chico""]","Nijeni pe táa cáachi níiri. Yo era un poco chico. Ma ochérami cáachi mucumea. Ya que sea viejo, morirá. Siné cáachi. En otra ocasión, tal vez Táa cáachi. Siendo chico","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000362","tar","Caba","Vi","Caba","caba","","Vi","Estar bajo a la sombra","[]","[""Nijeni echo’ná ri’ré pachá cábama. Voy a estar allí, a la sombra.""]","Nijeni echo’ná ri’ré pachá cábama. Voy a estar allí, a la sombra.","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000363","tar","Cabí","Vt","Cabí","cabi","","Vt","Enrollar","[]","[""¡oserí cabí! ¡enrolla el papel! Biré cabítami. Un rollo largo, una pieza entera de manta""]","¡oserí cabí! ¡enrolla el papel! Biré cabítami. Un rollo largo, una pieza entera de manta","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000364","tar","Cabita","Vi","Cabita","cabita","","Vi","Rodarse (una cosa larga)","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000365","tar","Cabítana","Vt","Cabítana","cabitana","","Vt","Rodar, envolver","[]","[]","","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000366","tar","Cabó","Vt","Cabó","cabo","","Vt","Enrollar en una bola (mecate)","[]","[""Mani cu cabori huiya. Ya enrollé el mecate.""]","Mani cu cabori huiya. Ya enrollé el mecate.","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000367","tar","Cabóchuhua","S","Cabóchuhua","cabochuhua","","S","Pantorrilla","[]","[""Nijé cabóchara. Mi pantorrilla.""]","Nijé cabóchara. Mi pantorrilla.","SRC-02[21]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000368","tar","Cabóochi","S","Cabóochi","caboochi","","S","1. Músculo (de la pierna o del brazo) 2. En la pantorilla","[]","[]","","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000369","tar","Cabora","Vi pl","Cabora","cabora","","Vi","Ser esféricos","[""sing.: capora""]","[""[sing.: capora] Cabórami. Esféricos""]","[sing.: capora] Cabórami. Esféricos","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000370","tar","Cabósari","S","Cabósari","cabosari","","S","Tecolote blanco (ave tamaño mediano), búho chico","[]","[]","","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000371","tar","Cabú","Adv","Cabú","cabu","","Adv","¿cuándo?","[]","[""¿cabú cu nahuari? ¿cuándo viniste? Quiríbuco. Adv ¿cuándo?""]","¿cabú cu nahuari? ¿cuándo viniste? Quiríbuco. Adv ¿cuándo?","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000372","tar","Cachagá","S","Cachagá","cachaga","","S","Cadera","[]","[]","","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000373","tar","cachí","Vi","1cachí","cachi","1","Vi","Escupir","[]","[""Ne huabé huaquicheri tambore. Gará níima cachípasa. El tambor se secó; sería bueno escupirlo. Cachipo. Vamos a escupir. Cachipa. Vi le escupe""]","Ne huabé huaquicheri tambore. Gará níima cachípasa. El tambor se secó; sería bueno escupirlo. Cachipo. Vamos a escupir. Cachipa. Vi le escupe","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000374","tar","cachí","Vi pl","2cachí","cachi","2","Vi","Reírse","[]","[]","","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000375","tar","Cachígachí","S","Cachígachí","cachigachi","","S","Cadera","[]","[""Hue ocó nijé cachigárachi. Me duele mucho una cadera. Nijé cachigara. Mi cadera. Nijé cachigárachi. En mi cadera.""]","Hue ocó nijé cachigárachi. Me duele mucho una cadera. Nijé cachigara. Mi cadera. Nijé cachigárachi. En mi cadera.","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000376","tar","Cachú","Vi","Cachú","cachu","","Vi","Arrugarse","[""pret.: cachuri""]","[""Chabeni rarari je'ná coyacha; ma cáraga cachuri. Hace tiempo compré este sombrero; ya se arrugó completamente [pret.: cachuri]""]","Chabeni rarari je'ná coyacha; ma cáraga cachuri. Hace tiempo compré este sombrero; ya se arrugó completamente [pret.: cachuri]","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000377","tar","Cachuna","Vt","Cachuna","cachuna","","Vt","Arrugar","[""pret.: cachúnari; pp.: cachúami""]","[""[pret.: cachúnari; pp.: cachúami]""]","[pret.: cachúnari; pp.: cachúami]","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000378","tar","Ca’huá","Vt","Ca’huá","ca'hua","","Vt","Poner huevos","[""fut.: ca'huaméa""]","[""Jipi quetasi te ca’huara, echi torí quetasi ca’huá. Ahora no hay huevos, las gallinas no ponen. [fut.: ca'huaméa] Torí ca'huara. S huevos de galina.""]","Jipi quetasi te ca’huara, echi torí quetasi ca’huá. Ahora no hay huevos, las gallinas no ponen. [fut.: ca'huaméa] Torí ca'huara. S huevos de galina.","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000379","tar","Cahué","S","Cahué","cahue","","S","Caballo","[]","[""Cahué acará.herradura. Cahué buquéami. Dueño del caballo. Cahué cho'orá. El hocico del caballo. Cahué huasira. La cola del caballo Cahué muquira. Yegua. Cahué ropara. Vientre del caballo.""]","Cahué acará.herradura. Cahué buquéami. Dueño del caballo. Cahué cho'orá. El hocico del caballo. Cahué huasira. La cola del caballo Cahué muquira. Yegua. Cahué ropara. Vientre del caballo.","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000380","tar","Ca'hué","Vi","Ca'hué","ca'hue","","Vi","Tener liendres","[""pret.: ca'huéari; fut.: ca'huérama""]","[""Hue ca'huéami ju mo'ochí. Tiene muchas liendres en la cabeza. [pret.: ca'huéari; fut.: ca'huérama]""]","Hue ca'huéami ju mo'ochí. Tiene muchas liendres en la cabeza. [pret.: ca'huéari; fut.: ca'huérama]","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000381","tar","Cahuera","Vt","Cahuera","cahuera","","Vt","Menospreciar, despreciar","[]","[""Echi rijoy quetasi tamí garé; chopi tamí cahuera. Ese hombre no me ama; solamente me desprecia.""]","Echi rijoy quetasi tamí garé; chopi tamí cahuera. Ese hombre no me ama; solamente me desprecia.","SRC-02[22]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000382","tar","cahuí","S","1cahuí","cahui","1","S","Monte, terreno, tierra, campo, mundo","[]","[""Iquecha mi cahuíi mapo’nami ichiméa? ¿no tienes tierra donde puedas sembrar? Cahuí ichihuáami. Tierra de cultivo. Cahuí pátami. Herencia de terrenos. Cahuíi. Vi tener tierra. Cahuichí. En el monte. Jena’í cahuírari. Este lugar. Nijé cahúíhuarachi. Mi tierra.""]","Iquecha mi cahuíi mapo’nami ichiméa? ¿no tienes tierra donde puedas sembrar? Cahuí ichihuáami. Tierra de cultivo. Cahuí pátami. Herencia de terrenos. Cahuíi. Vi tener tierra. Cahuichí. En el monte. Jena’í cahuírari. Este lugar. Nijé cahúíhuarachi. Mi tierra.","SRC-02[22-23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000383","tar","cahuí","Vi","2cahuí","cahui","2","Vi","Aclarar (desaparecer las nubes)","[]","[""Ma cu cahuiri norí. Ya se desaparecieron las nubes. Cahuí simí. Está aclarando.""]","Ma cu cahuiri norí. Ya se desaparecieron las nubes. Cahuí simí. Está aclarando.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000384","tar","Cahuíami","Adj","Cahuíami","cahuiami","","Adj","Claro, limpio, sereno (el cielo)","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000385","tar","Cahúírachi","S","Cahúírachi","cahuirachi","","S","Piña de pino","[]","[""Ocó cahuíchara. Piña de la clase de pino que llaman ocó Huiyó cahuíchara.piña grande de la clase de pino que llaman Huiyó""]","Ocó cahuíchara. Piña de la clase de pino que llaman ocó Huiyó cahuíchara.piña grande de la clase de pino que llaman Huiyó","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000386","tar","Cahuisori","S","Cahuisori","cahuisori","","S","Cobija","[""véase quimá""]","[""Vease quimá""]","Vease quimá","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000387","tar","Cajé","S","Cajé","caje","","S","Café","[]","[""Cajé rachirá. Heces del café.""]","Cajé rachirá. Heces del café.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000388","tar","Cajera","S","Cajera","cajera","","S","Cáscara delgada, vaina","[]","[""Bachí cajera. Cáscara de calabaza Masana cajera. Cáscara de manzana. Muní cajera.vaina de frijol. Narasi cajera. Cáscara de naranja Ocó cajera. Cáscara de pino.""]","Bachí cajera. Cáscara de calabaza Masana cajera. Cáscara de manzana. Muní cajera.vaina de frijol. Narasi cajera. Cáscara de naranja Ocó cajera. Cáscara de pino.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000389","tar","Cajuí","Vi","Cajuí","cajui","","Vi","Derribarse (una trinchera)","[""fut.: cajuima""]","[""[fut.: cajuima]""]","[fut.: cajuima]","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000390","tar","Cajuina","Vt","Cajuina","cajuina","","Vt","Derribar","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000391","tar","Ca'marota","Vi","Ca'marota","ca'marota","","Vi","Ampollarse","[]","[""Hue nóchari nijé ocó mitée; ma ca'marótari sicachí. Trabajé mucho tumbando pinos; ya se ampollaron mis manos.""]","Hue nóchari nijé ocó mitée; ma ca'marótari sicachí. Trabajé mucho tumbando pinos; ya se ampollaron mis manos.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000392","tar","Cameri","Vi fut","Cameri","cameri","","Vi","Ser bueno","[]","[""Que simisá cameri. Sería bueno que no fuera.""]","Que simisá cameri. Sería bueno que no fuera.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000393","tar","Ca'mí","Vi","Ca'mí","ca'mi","","Vi","Caerse (un poste o un pino)","[]","[""Ca'mí aquibi. Se cayó.""]","Ca'mí aquibi. Se cayó.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000394","tar","Camí","Vi","Camí","cami","","Vi","Encarrujarse, torcerse","[]","[""Ma camiri pelota; auchéchoco upúchamani. Ya se encarrujó la pelota; voy a echarle aire. Echo'ná rayénarachi huaminá camiri oserí. Se encarrujó el papel por el sol. Caminí. Está encarrujándose Camíami. encarrujado, aplastado""]","Ma camiri pelota; auchéchoco upúchamani. Ya se encarrujó la pelota; voy a echarle aire. Echo'ná rayénarachi huaminá camiri oserí. Se encarrujó el papel por el sol. Caminí. Está encarrujándose Camíami. encarrujado, aplastado","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000395","tar","Cami","Adj","Cami","cami","","Adj","Extraordinario","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000396","tar","Ca'mina","Vt","Ca'mina","ca'mina","","Vt","Tumbar","[""fut.: ca'minama""]","[""[fut.: ca'minama]""]","[fut.: ca'minama]","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000397","tar","Camina","Vt","Camina","camina","","Vt","Apretar, estrangular (con las manos)","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000398","tar","Ca'mocha","Vi","Ca'mocha","ca'mocha","","Vi","Hincharse la cara","[]","[""Banachí ca'móchari. Se le hinchó la mejilla""]","Banachí ca'móchari. Se le hinchó la mejilla","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000399","tar","Ca'moché","Vi","Ca'moché","ca'moche","","Vi","Taparse la garganta (cuando se come algo seco)","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000400","tar","Campori","S","Campori","campori","","S","Tambor (se usa en la Semana Santa)","[]","[""Huicabé campori anini. Se oyen muchos tambores.""]","Huicabé campori anini. Se oyen muchos tambores.","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000401","tar","Ca'muchí","Vi","Ca'muchí","ca'muchi","","Vi","Maíz para hacer palomitas","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000402","tar","Ca'muchita","Vt","Ca'muchita","ca'muchita","","Vt","Hacer palomitas (tostando el maíz)","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000403","tar","Canajeca simí","Vi","Canajeca simí","canajeca simi","","Vi","Flotar","[]","[]","","SRC-02[23]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000404","tar","Canápuromí","Adv","Canápuromí","canapuromi","","Adv","En muchas partes, en dondequiera","[]","[""Canápuromí piréami cúrohui ma gará machí oserí 'néniya. Los niños de muchas partes ya saben leer.""]","Canápuromí piréami cúrohui ma gará machí oserí 'néniya. Los niños de muchas partes ya saben leer.","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000405","tar","Cánari","S","Cánari","canari","","S","Guacamaya, perico","[]","[""Ma 'ne cuhuésachi, hue 'yena echi cánari. En la primavera hay (andan) Muchas guacamayas.""]","Ma 'ne cuhuésachi, hue 'yena echi cánari. En la primavera hay (andan) Muchas guacamayas.","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000406","tar","Canira","Vi","Canira","canira","","Vi","Alegrarse, complacerse","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000407","tar","Canírata","Vt","Canírata","canirata","","Vt","Complacer, contentar, regocijar","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000408","tar","Caniri","Vi","Caniri","caniri","","Vi","Estar contento, estar feliz","[""pret.: caníiri; fut.: canírama""]","[""[pret.: caníiri; fut.: canírama] Caníriga. Con mucho gusto. Canírini. Me dio gusto.""]","[pret.: caníiri; fut.: canírama] Caníriga. Con mucho gusto. Canírini. Me dio gusto.","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000409","tar","Ca'ó","Adv","Ca'ó","ca'o","","Adv","Arriba por el arroyo","[]","[""Mi ca'ónani bité. Vivo arriba, por el arroyo. Ca'ona na'rí ju. Es para arriba, en el arroyo. Ca'ona. Para arriba en el arroyo.""]","Mi ca'ónani bité. Vivo arriba, por el arroyo. Ca'ona na'rí ju. Es para arriba, en el arroyo. Ca'ona. Para arriba en el arroyo.","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000410","tar","Capaneri","S","Capaneri","capaneri","","S","Campana","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000411","tar","Capilata","Vi","Capilata","capilata","","Vi","Rodarse (una cosa larga, como un tronco)","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000412","tar","Capira","Vi","Capira","capira","","Vi","Estar cilíndrico","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000413","tar","Capírahua","Vi","Capírahua","capirahua","","Vi","Hacer cilíndrico","[""pret.: capíranari; fut.: capíranama""]","[""[pret.: capíranari; fut.: capíranama]""]","[pret.: capíranari; fut.: capíranama]","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000414","tar","Capíiri","","Capíiri","capiiri","","Sin clasificar","Se hizo cilíndrico","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000415","tar","Capírami","Adj","Capírami","capirami","","Adj","Cilíndrico","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000416","tar","Capirátana","Vt","Capirátana","capiratana","","Vt","Hacer rodar (una cosa larga, como un tronco)","[]","[""Capirata simí. Rueda un trozo""]","Capirata simí. Rueda un trozo","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000417","tar","Capitani","S","Capitani","capitani","","S","Capitán","[]","[""Queni capitánahua. Mi capitán. Nijé capitánahuara. Mi capitán.""]","Queni capitánahua. Mi capitán. Nijé capitánahuara. Mi capitán.","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000418","tar","Capó","Vi","Capó","capo","","Vi","1. Quebrarse (una cosa larga) 2. Inflarse","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000419","tar","Capona","Vt","Capona","capona","","Vt","1. Quebrar 2. Desgajar 3. Inflar","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000420","tar","Capora","Vi sing","Capora","capora","","Vi","Ser esférico","[""pl: cabora""]","[""Que ‘me capórami ju comácari. No está muy esférica la bola de madera. [pl: cabora]""]","Que ‘me capórami ju comácari. No está muy esférica la bola de madera. [pl: cabora]","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000421","tar","Capíramo","Adj","Capíramo","capiramo","","Adj","Esférico","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000422","tar","Capórahua","Vt","Capórahua","caporahua","","Vt","Hacer esférico","[]","[""Capórana. Hacerse una bola""]","Capórana. Hacerse una bola","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000423","tar","Capósi","S","Capósi","caposi","","S","Chilicote (Un árbol de barranca que tiene semillas rojas, se piensa que son venenosas)","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000424","tar","Capota","Vi","Capota","capota","","Vi","Inflamarse, hincharse (tortilla)","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000425","tar","Capótami","Adj","Capótami","capotami","","Adj","Inflado, hinchado","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000426","tar","Cara","Adv","Cara","cara","","Adv","Completamente","[]","[""Cara mojuánari. La quebró en pedazos completamente (una olla). Cara chaquena a’huasá. Desbaratar Cara mojuana. Desmoronar.""]","Cara mojuánari. La quebró en pedazos completamente (una olla). Cara chaquena a’huasá. Desbaratar Cara mojuana. Desmoronar.","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000427","tar","Cárabá","","Cárabá","caraba","","Sin clasificar","Por nada","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000428","tar","Carabina","S esp","Carabina","carabina","","S","Arma, rifle","[]","[]","","SRC-02[24]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000429","tar","Cáraca","Adv","Cáraca","caraca","","Adv","1. Completamente. 2. De todas clases","[]","[""¡Cáraca mojoná! ¡quiébralo completamente! Cáraca níhuami. Tengo de todas clases.""]","¡Cáraca mojoná! ¡quiébralo completamente! Cáraca níhuami. Tengo de todas clases.","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000430","tar","Ca’rara","Vt","Ca’rara","ca'rara","","Vt","Mejorar","[]","[""Véase a´lara""]","Véase a´lara","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000431","tar","Cárari","S","Cárari","carari","","S","Sombra","[]","[""Ri’ré pachá masántari cárari bu’huiri. Debajo del manzano hay sombra.""]","Ri’ré pachá masántari cárari bu’huiri. Debajo del manzano hay sombra.","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000432","tar","Caré","Vi","1Caré","care","1","Vi","Parecerse","[""pret: carihuérari; fut: carihuérama""]","[""Ne gará chabochi carihuérama. Va a parecerse a los mestizos. [pret: carihuérari; fut: carihuérama]""]","Ne gará chabochi carihuérama. Va a parecerse a los mestizos. [pret: carihuérari; fut: carihuérama]","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000433","tar","Caré","Vt","2Caré","care","2","Vt","Amar, tener cariño","[]","[""Échi tohuí ne huabé caré binoy iyera. Ese niño ama mucho a su mamá. Véase garé. Carigá. Amándole. Carécahuami. Amado.""]","Échi tohuí ne huabé caré binoy iyera. Ese niño ama mucho a su mamá. Véase garé. Carigá. Amándole. Carécahuami. Amado.","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000434","tar","Caréami","Adj","Caréami","careami","","Adj","Amable","[]","[]","","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000435","tar","Ca’rí","Vi","Ca’rí","ca'ri","","Vi","Quebrarse (un palo)","[]","[""ripurá cusirá ma ca’riri. El mango del hacha ya se quebró. Ca’riní. Está quebrándose.""]","ripurá cusirá ma ca’riri. El mango del hacha ya se quebró. Ca’riní. Está quebrándose.","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000436","tar","Carí","S","Carí","cari","","S","Casa","[]","[""Nijé carira. Mi casa. Carí níhuami. amo de la casa. Carírari. En la casa, entre las casas. Carichí. En la casa.""]","Nijé carira. Mi casa. Carí níhuami. amo de la casa. Carírari. En la casa, entre las casas. Carichí. En la casa.","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000437","tar","Cari ju","","Cari ju","cari ju","","Sin clasificar","Es todo, estpa completo.","[]","[]","","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000438","tar","Carihua","Vi","Carihua","carihua","","Vi","Tener casa","[""pret: caríiri; pp.: caríhuami; fut.: caríiri; pp.: caríhuami; fut.: caríima""]","[""[pret: caríiri; pp.: caríhuami; fut.: caríiri; pp.: caríhuami; fut.: caríima]""]","[pret: caríiri; pp.: caríhuami; fut.: caríiri; pp.: caríhuami; fut.: caríima]","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000439","tar","Carihué","Vt","Carihué","carihue","","Vt","1. Arreglar 2. Alzar","[]","[]","","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000440","tar","Carihuérami","","Carihuérami","carihuerami","","Sin clasificar","Listo, arreglado","[]","[]","","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000441","tar","Ca’rina","Vt","Ca’rina","ca'rina","","Vt","Quebrar","[]","[""Ca’rígami. pp.: quebrado Ca’riná. imper.: ¡quiébralo!""]","Ca’rígami. pp.: quebrado Ca’riná. imper.: ¡quiébralo!","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000442","tar","Carirá","Vt","Carirá","carira","","Vt","Hacer o construir una casa","[]","[]","","SRC-02[25]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
